title,variable,datatype
Y1,VAC_.Y1_REQ,BOOL
Y1,VAC_.Y1_IND,BOOL
Y1,VAC_.Y1_OPEN_ACT,BOOL
Y1,VAC_.Y1_CLS_ACT,BOOL
Y1,VAC_.Y1_OPEN_CMD,BOOL
Y3,VAC_.Y3_REQ,BOOL
Y3,VAC_.Y3_IND,BOOL
Y3,VAC_.Y3_OPEN_ACT,BOOL
Y3,VAC_.Y3_CLS_ACT,BOOL
Y3,VAC_.Y3_OPEN_CMD,BOOL
Y5,VAC_.Y5_REQ,BOOL
Y5,VAC_.Y5_IND,BOOL
Y5,VAC_.Y5_OPEN_ACT,BOOL
Y5,VAC_.Y5_CLS_ACT,BOOL
Y5,VAC_.Y5_OPEN_CMD,BOOL
Y6,VAC_.Y6_REQ,BOOL
Y6,VAC_.Y6_IND,BOOL
Y6,VAC_.Y6_OPEN_ACT,BOOL
Y6,VAC_.Y6_CLS_ACT,BOOL
Y6,VAC_.Y6_OPEN_CMD,BOOL
Y10,VAC_.Y10_REQ,BOOL
Y10,VAC_.Y10_IND,BOOL
Y10,VAC_.Y10_OPEN_ACT,BOOL
Y10,VAC_.Y10_CLS_ACT,BOOL
Y10,VAC_.Y10_OPEN_CMD,BOOL
Y11,VAC_.Y11_REQ,BOOL
Y11,VAC_.Y11_IND,BOOL
Y11,VAC_.Y11_OPEN_ACT,BOOL
Y11,VAC_.Y11_CLS_ACT,BOOL
Y11,VAC_.Y11_OPEN_CMD,BOOL
Y12,VAC_.Y12_REQ,BOOL
Y12,VAC_.Y12_IND,BOOL
Y12,VAC_.Y12_OPEN_ACT,BOOL
Y12,VAC_.Y12_CLS_ACT,BOOL
Y12,VAC_.Y12_OPEN_CMD,BOOL

