title,variable,references,description
,MAIN DIST BRKR AC,,MAIN DISTRIBUTION BREAKER AC
,CTRL BRKR IPC & HMI & MAIN CPLR PWR,,CONTROL BREAKER PANELS 3 & 4 FOR IPC & HMI & MAIN COUPLER POWER
,CTRL BRKR IPC & HMI & MAIN CPLR PWR,,CONTROL BREAKER PANEL 7 FOR SERVO
,CTRL BRKR HV,,CONTROL BREAKER PANEL 11 FOR HV
,,,RESERVED - PUMP P1
,,,"RESERVED - PUMPS P11,P12,P2"
,,,"RESERVED - DOORS, LIGHTS, PUMP P3"
,,,RESERVED
,,,RESERVED
,,,RESERVED
,MAIN_L1_CUR_ACT,,MAIN L1 CURRENT TRANSDUCER
,MAIN_L2_CUR_ACT,,MAIN L2 CURRENT TRANSDUCER
,MAIN_L3_CUR_ACT,,MAIN L3 CURRENT TRANSDUCER
,MAIN DISTR LUG L1,,MAIN DISTRIBUTION LUG FOR L1
,MAIN DISTR LUG L2,,MAIN DISTRIBUTION LUG FOR L2
,MAIN DISTR LUG L3,,MAIN DISTRIBUTION LUG FOR L3
,MAIN DISTR LUG NEUTRAL,,MAIN DISTRIBUTION LUG FOR NEUTRAL
,MAIN DISTR LUG PE,,MAIN DISTRIBUTION LUG FOR PE
,MAIN DISTR TB L1,,MAIN DISTRIBUTION TERMINAL BLOCKS FOR L1
,MAIN DISTR TB L2,,MAIN DISTRIBUTION TERMINAL BLOCKS FOR L2
,MAIN DISTR TB L3,,MAIN DISTRIBUTION TERMINAL BLOCKS FOR L3
,MAIN DISTR TB PE,,MAIN DISTRIBUTION TERMINAL BLOCKS FOR PE
,CTRL BRKR IPC & MAIN CPLR LOG,,CONTROL BREAKER FOR IPC & MAIN COUPLER LOGIC 
,CTRL BRKR HMI PC PWR,,CONTROL BREAKER FOR HMI PC POWER
,,,CONTROL MAIN RELAY
,CTRL BRKR MAIN CPLR PWR,,CONTROL BREAKER FOR MAIN IO COUPLER POWER
,CTRL BRKR SERVO CPLR LOG & JNC PWR,,CONTROL BREAKER FOR SERVO COUPLER LOGIC & JUNCTION POWER
,CTRL BRKR SERVO CPLR PWR,,CONTROL BREAKER FOR SERVO COUPLER POWER
,CTRL BRKR CHA CPLR LOG,,CONTROL BREAKER FOR CHAMBER COUPLER LOGIC 
,CTRL BRKR CHA CPLR PWR,,CONTROL BREAKER FOR CHAMBER COUPLER POWER
,CTRL PSU IPC & MAIN CPLR LOG,,CONTROL PSU FOR IPC & MAIN COUPLER LOGIC
,CTRL UPS IPC POWER,,CONTROL UPS FOR IPC POWER
,CTRL IPC,,CONTROL IPC
,HMI_PC,,HMI PC
,CTRL PSU MAIN CPLR PWR,,CONTROL PSU FOR MAIN COUPLER POWER
,EK1100 ETHERCAT COUPLER,,CONTROL MAIN COUPLER
,CTRL TB L1,,CONTROL TERMINAL BLOCKS FOR L1
,CTRL TB VALVE & MAIN CPLR PWR 24V,,CONTROL TERMINAL BLOCK FOR VALVE & MAIN COUPLER POWER 24V
,CTRL TB VALVE & MAIN CPLR PWR 0V,,CONTROL TERMINAL BLOCK FOR VALVE & MAIN COUPLER POWER 0V
,CTRL TB PE,,CONTROL TERMINAL BLOCKS FOR PE
,CTRL IO CARD EL1918 DI SAFETY,,CONTROL IO CARD EL1918 DIGITAL INPUT FOR SAFETY
,EL1008 DIGITAL INPUT,,CONTROL IO CARD EL1008 DIGITAL INPUT FOR VALVES ACTUAL
,CTRL IO CARD EL2008 DO VALVES CMD,,CONTROL IO CARD EL2008 DIGITAL OUTPUT FOR VALVES OPEN CMD
,CTRL TB IPC PWR & MAIN CPLR LOG 24V,,CONTROL TERMINAL BLOCK FOR IPC POWER & MAIN COUPLER LOGIC 24V
,CTRL TB IPC PWR & MAIN CPLR LOG 0V,,CONTROL TERMINAL BLOCK FOR IPC POWER & MAIN COUPLER LOGIC 0V
ESTOP,E_STOP_.ACT,,E-STOP ACTUAL
ESTOP,E_STOP_.RESET_REQ,,E-STOP RESET BUTTON REQUEST
ESTOP,E_STOP_.ERR_ACK_REQ,,E-STOP ERR ACKNOWLEDGED REQUEST
ESTOP,E_STOP_.RUN_REQ,,E-STOP RUN REQUEST
ESTOP,E_STOP_.FSOE_1_REQ,,E-STOP FAIL SAFE OVER ETHERCAT  AMPLIFIER 1 REQUEST
ESTOP,E_STOP_.FSOE_2_REQ,,E-STOP FAIL SAFE OVER ETHERCAT AMPLIFIER 2 REQUEST
ESTOP,E_STOP_.FSOE_3_REQ,,E-STOP FAIL SAFE OVER ETHERCAT AMPLIFIER 3 REQUEST
ESTOP,E_STOP_.FSOE_1_ACT,,E-STOP FAIL SAFE OVER ETHERCAT AMPLIFIER 1 ACTUAL
ESTOP,E_STOP_.FSOE_2_ACT,,E-STOP FAIL SAFE OVER ETHERCAT AMPLIFIER 2 ACTUAL
ESTOP,E_STOP_.FSOE_3_ACT,,E-STOP FAIL SAFE OVER ETHERCAT AMPLIFIER 3 ACTUAL
ESTOP,E_STOP_IN_1,,E-STOP INPUT 1
ESTOP,E_STOP_IN_2,,E-STOP INPUT 2
,CTRL MAN PNE,,CONTROL MANIFOLD FOR PNEUMATICS
,,,
,CTRL IO CARD EL1008 DI VALVES & GUN ACT,,CONTROL IO CARD EL1008 DIGITAL INPUT FOR VALVES & GUN ACTUAL
,"CTRL IO CARD EL1008 DI DOOR, RT, & PNE PS ACT",,"CONTROL IO CARD EL1008 DIGITAL INPUT FOR DOOR, RUNOUT TABLE, & PNEUMATIC PRESSURE SENSOR ACTUAL"
,RESERVED,,
,"CTRL IO CARD EL2008 DO GUN, DOOR, & RT CMD",,"CONTROL IO CARD EL2008 DIGITAL OUTPUT FOR GUN, DOOR, & RUNOUT TABLE COMMAND"
,RESERVED,,
,RESERVED,,
,RESERVED,,
Y1,VAC_.Y1_REQ,,VACUUM Y1 REQUEST
Y1,VAC_.Y1_IND,,VACUUM Y1 INDICATOR 
Y1,VAC_.Y1_OPEN_ACT,4_A2020 9_K2032 ,VACUUM Y1 OPEN ACTUAL
Y1,VAC_.Y1_CLS_ACT,4_A2020 9_K2033,VACUUM Y1 CLOSE ACTUAL
Y1,VAC_.Y1_OPEN_CMD,4_A2021 9_K2034,VACUUM Y1 OPEN CMD
Y1,VAC_.Y1_OPEN_ACT,4_A2020 9_K2032 ,VACUUM Y1 SWITCH  FOR OPEN ACTUAL
Y1,VAC_.Y1_CLS_ACT,4_A2020 9_K2033,VACUUM Y1 SWITCH FOR CLOSE ACTUAL
